micpoint,UD-node,longitude,latitude,orignode
326,49174818,-118.36996,33.92362,49174818
346,295028731,-118.36357,33.9919,49232733
347,111213334,-118.36305,33.9884,111213334
351,49232715,-118.36227,33.98666,49232715
352,49232584,-118.36178,33.97844,49232584
354,49175208,-118.3613,33.91917,838199686
355,49177334,-118.3613,33.97456,49177334
361,49232670,-118.35967,33.98412,49232674
373,49232694,-118.3573,33.98361,49232694
375,49176789,-118.357,33.9418,49176789
376,49176862,-118.357,33.94908,49176862
377,49234460,-118.3569,34.01831,49234460
381,49232967,-118.35622,34.00551,49232967
386,49235048,-118.35445,33.98714,49235048
389,49236865,-118.35365,34.01829,49236865
392,49177667,-118.35268,33.92002,49177667
394,49235071,-118.3518,33.98707,49235071
412,49178803,-118.3483,33.9418,49178803
423,49237174,-118.34522,34.02376,49237174
424,49237161,-118.34521,34.02027,49237161
431,49235229,-118.34434,33.97955,49235229
434,49177928,-118.34387,33.91948,49177927
445,811106712,-118.34232,33.95272,811106712
446,49235239,-118.34178,33.97603,49235239
460,49235393,-118.33992,33.9908,49235393
461,49235380,-118.3399,33.98804,49235380
462,49178931,-118.33981,33.94181,49178931
466,337755567,-118.33837,34.00783,337755567
468,49235384,-118.33782,33.98536,49235384
470,49177971,-118.33741,33.92369,49177971
474,49236040,-118.3357,34.0044,49236040
475,49236273,-118.33554,33.99082,49236273
478,49236252,-118.33376,33.98538,49236252
480,49236215,-118.33232,33.98288,49236215
481,49236562,-118.33222,34.00205,49236562
482,49236291,-118.3318,33.99312,837533024
492,49236239,-118.32938,33.98292,49236239
493,49236597,-118.32938,34,49236597
496,49178493,-118.32857,33.92633,49178493
498,49236733,-118.32811,34.01405,49236733
501,297522898,-118.32652,33.91969,297522898
502,49236235,-118.3265,33.97974,49236236
503,49236243,-118.32649,33.98179,49236243
515,49236432,-118.32363,33.99499,49236432
516,49236747,-118.3236,34.00184,49236747
517,49236751,-118.32358,34.00442,49236751
518,49236411,-118.32353,33.98724,49236411
520,49178584,-118.32241,33.92371,49178584
522,49180147,-118.32214,33.96817,49180147
524,49179757,-118.32102,33.95273,49179757
527,49236845,-118.31931,34.01457,49236845
528,49236766,-118.31925,34.00003,49236766
531,49236444,-118.31867,33.98548,49236444
536,49178703,-118.3178,33.92855,49178703
538,49236768,-118.31713,34.00002,49236768
539,49236852,-118.31709,34.01462,49236852
540,49236450,-118.3167,33.98549,49236450
543,49179799,-118.31558,33.95272,49179799
546,49249282,-118.31386,33.99242,49249282
547,49249288,-118.31385,33.99504,49249288
550,49188165,-118.31339,33.96819,49188165
1201,48847847,-118.49033,34.0075,48847847
1213,48848018,-118.48728,34.00964,48848018
1233,48848112,-118.48295,34.01231,48848112
1289,48855955,-118.47423,34.01694,48855955
1370,48856114,-118.46656,34.02104,48856114
1446,48856686,-118.45221,34.02718,48856686
1462,48856725,-118.44899,34.02788,48856725
1510,48856925,-118.44321,34.02844,48856925
1578,48859394,-118.43142,34.02625,48859394
1611,48859613,-118.42866,34.02736,48859613
1619,48859692,-118.42799,34.02438,48859692
1623,48859691,-118.4267,34.0224,48859691
1702,48860345,-118.41382,34.02757,48860345
1753,48860458,-118.40853,34.0264,48860458
1792,48860627,-118.40361,34.02909,48860627
1922,49233250,-118.39256,34.02706,49233250
1940,49233205,-118.39022,34.02598,49233205
2128,49234205,-118.37208,34.02653,49234205
2333,49236884,-118.3551,34.02492,49236884
2563,49237787,-118.33511,34.02558,49237787
2672,49237964,-118.32478,34.02559,49237964
2742,49238078,-118.31768,34.03264,49238078
2812,295010716,-118.30967,33.9254,295010716
2826,311844162,-118.30914,33.93102,311844162
2841,49187962,-118.30903,33.94545,49187962
2843,49188150,-118.30901,33.95997,49188150
2845,49188222,-118.30898,33.97457,49188222
2847,49249248,-118.30896,33.98189,49249248
2849,49249301,-118.30895,33.98915,49249301
2851,49249314,-118.30894,33.99325,49249314
2853,49249485,-118.30893,34.00372,49249485
2854,49249526,-118.30893,34.01085,49249526
2855,49250506,-118.30892,34.01826,49250506
2858,49250532,-118.30889,34.02555,49250532
2973,49186623,-118.29672,33.92848,49186623
