LA signal file updated
363	1	7200
1
1	94	30	180	0	3	35	3	8	3	42	3	300	0	0	0	0	0	0
2	101	30	180	0	3	42	3	8	3	42	3	300	0	0	0	0	0	0
3	75	30	180	0	4	5	3	28	3	5	3	25	3	300	0	0	0	0
4	82	30	180	0	3	40	3	5	3	28	3	300	0	0	0	0	0	0
5	75	30	180	0	4	5	3	25	3	5	3	28	3	300	0	0	0	0
6	77	30	180	0	4	5	3	25	3	20	3	15	3	300	0	0	0	0
7	67	30	180	0	3	25	3	5	3	28	3	300	0	0	0	0	0	0
9	58	30	180	0	2	30	3	22	3	300	0	0	0	0	0	0	0	0
11	75	30	180	0	4	5	3	28	3	5	3	25	3	300	0	0	0	0
12	50	30	180	0	2	22	3	22	3	300	0	0	0	0	0	0	0	0
13	87	30	180	0	3	28	3	8	3	42	3	300	0	0	0	0	0	0
14	56	30	180	0	2	28	3	22	3	300	0	0	0	0	0	0	0	0
15	50	30	180	0	2	22	3	22	3	300	0	0	0	0	0	0	0	0
16	64	30	180	0	3	25	3	5	3	25	3	300	0	0	0	0	0	0
17	64	30	180	0	3	22	3	5	3	28	3	300	0	0	0	0	0	0
18	72	30	180	0	4	5	3	25	3	5	3	25	3	300	0	0	0	0
19	64	30	180	0	3	25	3	5	3	25	3	300	0	0	0	0	0	0
20	76	30	180	0	2	28	3	42	3	300	0	0	0	0	0	0	0	0
21	67	30	180	0	3	25	3	5	3	28	3	300	0	0	0	0	0	0
22	61	30	180	0	3	5	3	25	3	22	3	300	0	0	0	0	0	0
23	50	30	180	0	2	22	3	22	3	300	0	0	0	0	0	0	0	0
24	64	30	180	0	3	25	3	5	3	25	3	300	0	0	0	0	0	0
25	67	30	180	0	3	28	3	5	3	25	3	300	0	0	0	0	0	0
26	59	30	180	0	2	28	3	25	3	300	0	0	0	0	0	0	0	0
27	61	30	180	0	3	22	3	5	3	25	3	300	0	0	0	0	0	0
28	61	30	180	0	3	5	3	25	3	22	3	300	0	0	0	0	0	0
29	72	30	180	0	4	5	3	25	3	5	3	25	3	300	0	0	0	0
30	67	30	180	0	3	5	3	28	3	25	3	300	0	0	0	0	0	0
31	75	30	180	0	4	5	3	28	3	5	3	25	3	300	0	0	0	0
32	77	30	180	0	4	5	3	30	3	5	3	25	3	300	0	0	0	0
33	56	30	180	0	2	25	3	25	3	300	0	0	0	0	0	0	0	0
34	56	30	180	0	2	25	3	25	3	300	0	0	0	0	0	0	0	0
35	67	30	180	0	3	28	3	5	3	25	3	300	0	0	0	0	0	0
36	50	30	180	0	2	22	3	22	3	300	0	0	0	0	0	0	0	0
37	50	30	180	0	2	22	3	22	3	300	0	0	0	0	0	0	0	0
38	61	30	180	0	3	5	3	25	3	22	3	300	0	0	0	0	0	0
39	64	30	180	0	3	5	3	28	3	22	3	300	0	0	0	0	0	0
40	77	30	180	0	4	5	3	25	3	5	3	30	3	300	0	0	0	0
41	75	30	180	0	4	5	3	28	3	5	3	25	3	300	0	0	0	0
42	74	30	180	0	2	38	3	30	3	300	0	0	0	0	0	0	0	0
43	75	30	180	0	4	5	3	28	3	5	3	25	3	300	0	0	0	0
44	66	30	180	0	3	5	3	30	3	22	3	300	0	0	0	0	0	0
45	75	30	180	0	4	5	3	28	3	5	3	25	3	300	0	0	0	0
46	64	30	180	0	2	28	3	30	3	300	0	0	0	0	0	0	0	0
47	53	30	180	0	2	22	3	25	3	300	0	0	0	0	0	0	0	0
48	75	30	180	0	4	5	3	28	3	5	3	25	3	300	0	0	0	0
49	80	30	180	0	4	5	3	28	3	5	3	30	3	300	0	0	0	0
50	61	30	180	0	3	5	3	25	3	22	3	300	0	0	0	0	0	0
51	67	30	180	0	3	25	3	5	3	28	3	300	0	0	0	0	0	0
52	75	30	180	0	4	5	3	28	3	5	3	25	3	300	0	0	0	0
53	76	30	180	0	3	5	3	40	3	22	3	300	0	0	0	0	0	0
54	62	30	180	0	2	28	3	28	3	300	0	0	0	0	0	0	0	0
55	67	30	180	0	3	25	3	5	3	28	3	300	0	0	0	0	0	0
56	62	30	180	0	2	28	3	28	3	300	0	0	0	0	0	0	0	0
