LA	subnetwork	OD	with	preload									
97	172	109	44.1	0.05	0	3600	1	0	0	0	0	1	1
98	172	110	69.2	0.05	0	3600	1	0	0	0	0	1	1
99	179	111	291.1	0.05	0	3600	1	0	0	0	0	1	1
100	172	112	37.17	0.05	0	3600	1	0	0	0	0	1	1
101	172	113	88.31	0.05	0	3600	1	0	0	0	0	1	1
102	179	114	271.23	0.05	0	3600	1	0	0	0	0	1	1
103	172	115	240.17	0.05	0	3600	1	0	0	0	0	1	1
104	172	116	58.81	0.05	0	3600	1	0	0	0	0	1	1
105	172	117	47.39	0.05	0	3600	1	0	0	0	0	1	1
106	179	118	22.26	0.05	0	3600	1	0	0	0	0	1	1
107	179	119	92.3	0.05	0	3600	1	0	0	0	0	1	1
108	172	120	103.54	0.05	0	3600	1	0	0	0	0	1	1
109	172	121	12.62	0.05	0	3600	1	0	0	0	0	1	1
110	172	122	86.2	0.05	0	3600	1	0	0	0	0	1	1
111	172	123	103.54	0.05	0	3600	1	0	0	0	0	1	1
112	172	124	54.16	0.05	0	3600	1	0	0	0	0	1	1
113	172	125	58.36	0.05	0	3600	1	0	0	0	0	1	1
114	172	126	48.33	0.05	0	3600	1	0	0	0	0	1	1
115	172	128	51.35	0.05	0	3600	1	0	0	0	0	1	1
116	172	131	46.65	0.05	0	3600	1	0	0	0	0	1	1
117	172	132	52.85	0.05	0	3600	1	0	0	0	0	1	1
118	172	133	15.26	0.05	0	3600	1	0	0	0	0	1	1
119	172	135	12.39	0.05	0	3600	1	0	0	0	0	1	1
120	172	136	15.26	0.05	0	3600	1	0	0	0	0	1	1
121	172	138	18.39	0.05	0	3600	1	0	0	0	0	1	1
122	172	141	15.26	0.05	0	3600	1	0	0	0	0	1	1
123	172	142	15.26	0.05	0	3600	1	0	0	0	0	1	1
124	172	143	13.23	0.05	0	3600	1	0	0	0	0	1	1
125	172	146	15.75	0.05	0	3600	1	0	0	0	0	1	1
126	172	148	10.99	0.05	0	3600	1	0	0	0	0	1	1
