Node File for LA subnet5
647	0.8	0.8
1	51.108	100.45	3	0	0
2	51.415	100.67	1	-2	0
3	51.9	99.706	1	-3	0
4	52.182	99.908	1	-4	0
5	52.639	100.07	1	-5	0
6	52.66	101.09	1	-6	0
7	52.867	100.22	1	-7	0
8	52.908	99.796	1	-8	0
9	52.957	100.8	1	-9	0
10	53.072	100.34	1	-10	0
11	53.295	100.99	1	-11	0
12	53.314	97.902	1	-12	0
13	53.523	99.652	1	-13	0
14	53.75	98.418	1	-14	0
15	53.829	99.405	1	-15	0
16	53.863	102	1	-16	0
17	53.996	98.139	1	-17	0
18	54.201	100.37	1	-18	0
19	54.442	96.627	1	-19	0
20	54.601	99.86	1	-20	0
21	54.609	100.19	1	-21	0
22	55.016	100.91	1	-22	0
23	55.519	100.45	1	-23	0
24	55.764	100.13	1	-24	0
25	55.841	102.23	1	-25	0
26	55.945	102.09	1	-26	0
27	55.948	99.886	1	-27	0
28	55.98	99.696	1	-28	0
29	55.989	97.985	1	-29	0
30	56.091	100.29	1	-30	0
31	56.174	98.192	1	-31	0
32	56.269	100.05	1	-32	0
33	56.284	99.313	1	-33	0
34	56.293	99.7	1	-34	0
35	56.354	102.8	1	-35	0
36	56.515	101.36	1	-36	0
37	56.646	101.19	1	-37	0
38	56.798	102.22	1	-38	0
39	56.941	100.82	1	-39	0
40	56.972	98.372	1	-40	0
41	57.183	100.52	1	-41	0
42	57.203	91.708	1	-42	0
43	57.424	99.082	1	-43	0
44	57.451	97.663	1	-44	0
45	57.496	96.873	1	-45	0
46	57.499	96.141	1	-46	0
47	57.64	97.36	1	-47	0
48	57.665	99.917	1	-48	0
49	57.892	99.391	1	-49	0
50	57.931	99.678	1	-50	0
51	58.022	96.327	1	-51	0
52	58.085	102.37	1	-52	0
53	58.119	96.587	1	-53	0
54	58.339	96.838	1	-54	0
55	58.393	99.371	1	-55	0
56	58.403	91.787	1	-56	0
57	58.4	98.58	1	-57	0
58	58.444	101.95	1	-58	0
59	58.611	102.04	1	-59	0
60	58.678	99.141	1	-60	0
61	58.783	95.277	2	-61	0
62	58.893	99.923	1	-62	0
63	59.054	101.46	1	-63	0
64	59.21	97.974	1	-64	0
65	59.268	97.159	1	-65	0
66	59.341	101.06	1	-66	0
67	59.517	100.95	1	-67	0
68	59.543	96.605	1	-68	0
69	59.559	95.857	1	-69	0
70	59.565	96.197	1	-70	0
71	59.653	99.902	1	-71	0
72	59.783	98.693	1	-72	0
73	59.839	100.99	1	-73	0
74	59.885	100.25	1	-74	0
75	60.088	101.3	1	-75	0
76	60.146	98.915	1	-76	0
77	60.152	94.89	1	-77	0
78	60.366	94.737	1	-78	0
79	60.368	92.04	1	-79	0
80	60.375	94.083	1	-80	0
81	60.4	100.56	1	-81	0
82	60.459	101.84	1	-82	0
83	60.557	100.66	1	-83	0
84	60.625	99.115	1	-84	0
85	60.663	96.674	1	-85	0
86	60.711	102.17	1	-86	0
87	60.76	100.3	1	-87	0
88	60.793	94.558	1	-88	0
89	61.247	93.223	2	-89	0
90	61.277	101.59	1	-90	0
91	61.376	96.787	1	-91	0
92	61.876	99.061	1	-92	0
93	61.899	98.786	1	-93	0
94	61.96	94.943	1	-94	0
95	62.12	95.835	1	-95	0
96	62.122	96.35	1	-96	0
97	62.157	91.998	1	-97	0
98	62.944	91.286	2	-98	0
99	62.967	91.175	3	0	0
100	63.004	92.362	1	-100	0
101	63.643	99.19	1	-101	0
102	63.695	98.84	1	-102	0
103	63.773	98.666	1	-103	0
104	63.822	97.844	1	-104	0
105	63.87	91.917	1	-105	0
106	63.87	97.456	1	-106	0
107	64.033	98.412	1	-107	0
108	64.27	98.361	1	-108	0
109	64.3	94.18	1	-109	0
110	64.3	94.908	1	-110	0
111	64.31	101.83	1	-111	0
112	64.378	100.55	1	-112	0
113	64.555	98.714	1	-113	0
114	64.635	101.83	1	-114	0
115	64.732	92.002	1	-115	0
116	64.82	98.707	1	-116	0
117	65.17	94.18	1	-117	0
118	65.478	102.38	1	-118	0
119	65.479	102.03	1	-119	0
120	65.566	97.955	1	-120	0
121	65.613	91.948	1	-121	0
122	65.768	95.272	1	-122	0
123	65.822	97.603	1	-123	0
124	66.008	99.08	1	-124	0
125	66.01	98.804	1	-125	0
126	66.019	94.181	1	-126	0
127	66.163	100.78	1	-127	0
128	66.218	98.536	1	-128	0
129	66.259	92.369	1	-129	0
130	66.43	100.44	1	-130	0
131	66.446	99.082	1	-131	0
132	66.624	98.538	1	-132	0
133	66.768	98.288	1	-133	0
134	66.778	100.21	1	-134	0
135	66.82	99.312	1	-135	0
136	67.062	98.292	1	-136	0
137	67.062	100	1	-137	0
138	67.143	92.9	1	-138	0
139	67.189	101.41	1	-139	0
140	67.348	91.969	1	-140	0
141	67.35	97.974	1	-141	0
142	67.351	98.179	1	-142	0
143	67.637	99.499	1	-143	0
144	67.64	100.18	1	-144	0
145	67.642	100.44	1	-145	0
146	67.647	98.724	1	-146	0
147	67.759	92.371	1	-147	0
148	67.786	96.817	1	-148	0
149	67.898	95.273	1	-149	0
150	68.069	101.46	1	-150	0
151	68.075	100	1	-151	0
152	68.133	98.548	1	-152	0
153	68.22	92.855	1	-153	0
154	68.287	100	1	-154	0
155	68.291	101.46	1	-155	0
156	68.33	98.549	1	-156	0
157	68.442	95.272	1	-157	0
158	68.614	99.242	1	-158	0
159	68.615	99.504	1	-159	0
160	68.661	96.819	1	-160	0
161	50.967	100.75	1	-161	0
246	51.207	100.52	4	0	0
162	51.272	100.96	1	-162	0
247	51.553	100.19	4	0	0
