Mic_Zone_ID,TAZ_ID,attr,,,,,,,,
212,20859000,0,,,,,,,,
213,20856000,0,,,,,,,,
214,20574000,0,,,,,,,,
215,20858000,0,,,,,,,,
216,20576000,0,,,,,,,,
217,20581000,0,,,,,,,,
218,20855000,0,,,,,,,,
219,20579000,0,,,,,,,,
220,20822000,0,,,,,,,,
221,20869000,0,,,,,,,,
222,20578000,0,,,,,,,,
223,21120000,0,,,,,,,,
224,20579000,0,,,,,,,,
225,20860000,0,,,,,,,,
226,20869000,0,,,,,,,,
227,20582000,0,,,,,,,,
228,20866000,0,,,,,,,,
229,21120000,0,,,,,,,,
230,21122000,0,,,,,,,,
231,21120000,0,,,,,,,,
232,20869000,0,,,,,,,,
233,20826000,0,,,,,,,,
234,20827000,0,,,,,,,,
235,20586000,0,,,,,,,,
236,20866000,0,,,,,,,,
237,20862000,0,,,,,,,,
238,20826000,0,,,,,,,,
239,20874000,0,,,,,,,,
240,20581000,0,,,,,,,,
241,20576000,0,,,,,,,,
242,20575000,0,,,,,,,,
243,20861000,0,,,,,,,,
244,20870000,0,,,,,,,,
245,20867000,0,,,,,,,,
246,21119000,0,,,,,,,,
247,20876000,0,,,,,,,,
248,20871000,0,,,,,,,,
249,20593000,0,,,,,,,,
250,21119000,0,,,,,,,,
251,21125000,0,,,,,,,,
252,21119000,0,,,,,,,,
253,20866000,0,,,,,,,,
254,20877000,0,,,,,,,,
255,20870000,0,,,,,,,,
256,20871000,0,,,,,,,,
257,20881000,0,,,,,,,,
258,20877000,0,,,,,,,,
259,20878000,0,,,,,,,,
260,20877000,0,,,,,,,,
261,21142000,0,,,,,,,,
262,20589000,0,,,,,,,,
263,20882000,0,,,,,,,,
264,20878000,0,,,,,,,,
265,20880000,0,,,,,,,,
266,20873000,0,,,,,,,,
267,21134000,0,,,,,,,,
268,20875000,0,,,,,,,,
269,20877000,0,,,,,,,,
270,20874000,0,,,,,,,,
271,20886000,0,,,,,,,,
272,20886000,0,,,,,,,,
273,20887000,0,,,,,,,,
