Node Trace Back File for LA subnet4
1	68.659	93.823	1	-1	0	49187829	-118.31341	33.93823
2	68.809	102.19	1	-2	0	49250497	-118.31191	34.02188
3	68.865	100.01	1	-3	0	49249456	-118.31135	34.00005
4	68.896	101.46	1	-4	0	49249516	-118.31104	34.0146
5	69.094	92.307	1	-5	0	49186386	-118.30906	33.92307
6	69.218	101.46	1	-6	0	49249542	-118.30782	34.01463
7	69.325	100.01	1	-7	0	49249481	-118.30675	34.00006
8	69.527	102.37	1	-8	0	49250627	-118.30473	34.02373
9	69.528	102.19	1	-9	0	49250624	-118.30472	34.02189
10	69.531	93.821	1	-10	0	49188000	-118.30469	33.93821
11	69.539	98.14	1	-11	0	49249339	-118.30461	33.9814
12	69.539	98.324	1	-12	0	49249344	-118.30461	33.98324
13	69.543	99.238	1	-13	0	49249411	-118.30457	33.99238
14	69.543	99.414	1	-14	0	49249413	-118.30457	33.99414
15	69.543	100.28	1	-15	0	49249571	-118.30457	34.00278
16	69.544	100.61	1	-16	0	49249619	-118.30456	34.00606
17	69.545	101.21	1	-17	0	49249638	-118.30455	34.01209
18	69.546	100.85	1	-18	0	49249622	-118.30454	34.00846
19	69.708	102.19	1	-19	0	49250626	-118.30292	34.02189
20	69.751	95.585	1	-20	0	49188233	-118.30249	33.95585
21	69.871	99.687	1	-21	0	49249559	-118.30129	33.99687
22	69.96	91.832	1	-22	0	49186504	-118.3004	33.91832
23	70.194	99.686	1	-23	0	49249587	-118.29806	33.99686
24	70.228	102	1	-24	0	49250641	-118.29772	34.01998
25	70.228	102.19	1	-25	0	49250648	-118.29772	34.02187
26	70.407	102.19	1	-26	0	49250656	-118.29593	34.02194
27	70.408	95.594	1	-27	0	49188277	-118.29592	33.95594
28	70.408	95.686	1	-28	0	49188278	-118.29592	33.95686
29	70.409	96.363	1	-29	0	49188297	-118.29591	33.96363
30	70.41	100.55	1	-30	0	49249617	-118.2959	34.00548
31	70.411	98.141	1	-31	0	49249381	-118.29589	33.98141
32	70.411	100.99	1	-32	0	49249663	-118.29589	34.00992
33	70.411	101.21	1	-33	0	49249667	-118.29589	34.01211
34	70.411	102.72	1	-34	0	49250701	-118.29589	34.02716
35	70.412	99.229	1	-35	0	49249442	-118.29588	33.99229
36	70.412	99.412	1	-36	0	49249444	-118.29588	33.99412
37	70.415	98.586	1	-37	0	49249430	-118.29585	33.98586
38	70.415	98.833	1	-38	0	49249433	-118.29585	33.98833
39	70.415	98.967	1	-39	0	49249436	-118.29585	33.98967
40	70.589	93.815	1	-40	0	49188370	-118.29411	33.93815
41	70.623	99.958	1	-41	0	49250069	-118.29377	33.99958
42	70.75	101.55	1	-42	0	49250149	-118.2925	34.0155
43	70.845	92.506	1	-43	0	49187170	-118.29155	33.92506
44	70.989	101.54	1	-44	0	49250159	-118.29011	34.01543
45	71.269	102.11	1	-45	0	49251219	-118.28731	34.02105
46	71.275	101.22	1	-46	0	809700847	-118.28725	34.01221
47	71.276	101.01	1	-47	0	49250170	-118.28724	34.0101
48	71.285	99.417	1	-48	0	49249818	-118.28715	33.99417
49	71.285	99.962	1	-49	0	49250111	-118.28715	33.99962
50	71.286	99.233	1	-50	0	49249816	-118.28714	33.99233
51	71.288	97.268	1	-51	0	49188885	-118.28712	33.97268
52	71.289	97.638	1	-52	0	49249733	-118.28711	33.97638
53	71.302	95.281	1	-53	0	49188518	-118.28698	33.95281
54	71.504	102.74	1	-54	0	49251292	-118.28496	34.02744
55	71.538	101.65	1	-55	0	49251220	-118.28462	34.0165
56	71.684	102.14	1	-56	0	49251363	-118.28316	34.02138
57	71.692	91.99	3	0	0	49187114	-118.28308	33.9199
58	71.693	92.005	3	0	0	49187088	-118.28307	33.92005
59	71.693	92.026	2	-59	0	49187116	-118.28307	33.92026
60	71.693	92.036	2	-60	0	49187125	-118.28307	33.92036
61	71.693	101.4	1	-61	0	295039547	-118.28307	34.014
62	71.739	92.433	1	-62	0	49187324	-118.28261	33.92433
63	71.865	101.84	2	-63	0	49251329	-118.28135	34.01839
64	71.896	95.277	1	-64	0	49188697	-118.28104	33.95277
65	72.006	101.18	1	-65	0	49250414	-118.27994	34.01179
66	72.09	101.31	1	-66	0	49250453	-118.2791	34.01309
67	72.152	101.66	2	-67	0	49251387	-118.27848	34.01657
68	72.163	101.19	1	-68	0	49250452	-118.27837	34.01191
69	72.27	102.36	2	-69	0	49251427	-118.2773	34.02361
70	72.291	101.87	1	-70	0	49251399	-118.27709	34.01868
71	72.348	93.391	1	-71	0	49189513	-118.27652	33.93391
72	72.379	93.478	1	-72	0	49188617	-118.27621	33.93478
73	72.438	102.4	1	-73	0	49251456	-118.27562	34.024
74	72.538	101.79	1	-74	0	49251411	-118.27462	34.01786
75	72.609	92.372	1	-75	0	298955521	-118.27391	33.92372
76	72.714	102.28	1	-76	0	49253169	-118.27286	34.02276
77	72.746	103.1	3	0	0	49253220	-118.27254	34.031
78	72.819	99.926	1	-78	0	49252280	-118.27181	33.99926
79	72.83	95.285	1	-79	0	49190644	-118.2717	33.95285
80	72.926	103.11	2	-80	0	49253237	-118.27074	34.03108
81	73.007	101.64	1	-81	0	49253159	-118.26993	34.01641
82	73.035	100.47	1	-82	0	49252318	-118.26965	34.00474
83	73.037	100.29	1	-83	0	49252312	-118.26963	34.00293
84	73.042	98.061	1	-84	0	49252106	-118.26958	33.98061
85	73.042	98.425	1	-85	0	49252110	-118.26958	33.98425
86	73.046	93.48	1	-86	0	49190553	-118.26954	33.9348
87	73.047	95.019	1	-87	0	49190646	-118.26953	33.95019
