Lane prohibitor file 12/16/16 all the links with only one phase 111 are deleted; no need for lane stripping
579
4	10	2	100	011	00000	00000							
5	11	2	100	011	00000	00000							
7	13	2	100	011	00000	00000							
8	14	4	100	110	010	011	00000	00000	00000	00000			
9	15	2	100	011	00000	00000							
11	23	2	100	011	00000	00000							
12	24	2	100	011	00000	00000							
13	26	2	100	011	00000	00000							
14	27	2	100	011	00000	00000							
15	28	2	100	011	00000	00000							
16	29	2	100	011	00000	00000							
18	33	2	100	011	00000	00000							
20	41	2	100	011	00000	00000							
21	44	3	100	010	011	00000	00000	00000					
22	45	4	100	110	010	011	00000	00000	00000	00000			
23	51	2	100	011	00000	00000							
24	53	2	100	011	00000	00000							
25	55	2	100	011	00000	00000							
27	61	2	100	011	00000	00000							
28	64	3	100	010	011	00000	00000	00000					
29	72	2	100	011	00000	00000							
30	74	3	100	010	011	00000	00000	00000					
31	76	3	100	010	011	00000	00000	00000					
32	77	2	100	011	00000	00000							
33	80	2	100	011	00000	00000							
34	86	2	100	011	00000	00000							
35	96	2	100	011	00000	00000							
36	98	2	100	011	00000	00000							
37	100	2	100	011	00000	00000							
38	103	2	100	011	00000	00000							
39	104	2	100	011	00000	00000							
40	105	2	100	011	00000	00000							
41	107	2	100	011	00000	00000							
42	113	2	100	011	00000	00000							
43	117	2	100	011	00000	00000							
44	124	2	100	011	00000	00000							
45	129	2	100	011	00000	00000							
46	136	2	100	011	00000	00000							
47	139	2	100	011	00000	00000							
48	140	2	100	011	00000	00000							
49	147	2	100	011	00000	00000							
50	149	2	100	011	00000	00000							
51	156	3	100	010	011	00000	00000	00000							
52	158	2	100	011	00000	00000							
53	164	2	100	011	00000	00000							
54	167	2	100	011	00000	00000							
55	175	2	100	011	00000	00000							
56	179	2	100	011	00000	00000							
57	180	2	100	011	00000	00000							
58	181	2	100	011	00000	00000							
59	188	3	100	010	011	00000	00000	00000					
60	223	2	100	011	00000	00000							
61	225	2	100	011	00000	00000							
62	227	2	100	011	00000	00000							
63	229	2	100	011	00000	00000							
64	231	2	100	011	00000	00000							
66	243	3	100	010	011	00000	00000	00000					
68	253	2	100	011	00000	00000							
69	260	2	100	011	00000	00000							
71	279	2	100	011	00000	00000							
72	282	2	100	011	00000	00000							
