LA	subnetwork	OD	with	preload									
22329	0	0	1										
1	133	3	258.7	0.05	0	3600	1	0	0	0	0	1	1
2	133	5	317.3	0.05	0	3600	1	0	0	0	0	1	1
3	133	6	286.6	0.05	0	3600	1	0	0	0	0	1	1
4	133	7	258.7	0.05	0	3600	1	0	0	0	0	1	1
5	133	9	224.9	0.05	0	3600	1	0	0	0	0	1	1
6	133	8	283.1	0.05	0	3600	1	0	0	0	0	1	1
7	133	11	211.7	0.05	0	3600	1	0	0	0	0	1	1
8	133	12	87.3	0.05	0	3600	1	0	0	0	0	1	1
9	133	14	284.2	0.05	0	3600	1	0	0	0	0	1	1
10	133	15	174	0.05	0	3600	1	0	0	0	0	1	1
11	133	16	224.5	0.05	0	3600	1	0	0	0	0	1	1
12	133	17	224.9	0.05	0	3600	1	0	0	0	0	1	1
13	133	18	283.1	0.05	0	3600	1	0	0	0	0	1	1
14	133	19	381.3	0.05	0	3600	1	0	0	0	0	1	1
15	133	20	380.8	0.05	0	3600	1	0	0	0	0	1	1
16	133	21	167.4	0.05	0	3600	1	0	0	0	0	1	1
17	133	22	127.4	0.05	0	3600	1	0	0	0	0	1	1
18	133	23	314.4	0.05	0	3600	1	0	0	0	0	1	1
19	133	24	71.5	0.05	0	3600	1	0	0	0	0	1	1
20	133	25	87	0.05	0	3600	1	0	0	0	0	1	1
21	133	26	63.4	0.05	0	3600	1	0	0	0	0	1	1
22	133	27	275.1	0.05	0	3600	1	0	0	0	0	1	1
23	133	28	63.4	0.05	0	3600	1	0	0	0	0	1	1
24	133	29	225.7	0.05	0	3600	1	0	0	0	0	1	1
25	133	34	113.1	0.05	0	3600	1	0	0	0	0	1	1
26	133	41	90.1	0.05	0	3600	1	0	0	0	0	1	1
27	133	45	85	0.05	0	3600	1	0	0	0	0	1	1
28	136	67	365.5	0.05	0	3600	1	0	0	0	0	1	1
29	133	87	2.9	0.05	0	3600	1	0	0	0	0	1	1
30	133	37	10.1	0.05	0	3600	1	0	0	0	0	1	1
31	133	1	8.6	0.05	0	3600	1	0	0	0	0	1	1
32	1	131	1.6	0.05	0	3600	1	0	0	0	0	1	1
33	1	2	1.8	0.05	0	3600	1	0	0	0	0	1	1
34	1	3	2.3	0.05	0	3600	1	0	0	0	0	1	1
35	1	4	1.8	0.05	0	3600	1	0	0	0	0	1	1
36	1	5	2.8	0.05	0	3600	1	0	0	0	0	1	1
37	1	6	1.9	0.05	0	3600	1	0	0	0	0	1	1
38	1	7	2.3	0.05	0	3600	1	0	0	0	0	1	1
39	1	9	0.1	0.05	0	3600	1	0	0	0	0	1	1
40	1	8	2.1	0.05	0	3600	1	0	0	0	0	1	1
41	1	12	0.3	0.05	0	3600	1	0	0	0	0	1	1
42	1	14	1.6	0.05	0	3600	1	0	0	0	0	1	1
43	1	16	0.1	0.05	0	3600	1	0	0	0	0	1	1
44	1	17	0.1	0.05	0	3600	1	0	0	0	0	1	1
45	1	18	2.1	0.05	0	3600	1	0	0	0	0	1	1
46	1	132	30	0.05	0	3600	1	0	0	0	0	1	1
47	1	19	4	0.05	0	3600	1	0	0	0	0	1	1
48	1	20	4	0.05	0	3600	1	0	0	0	0	1	1
49	1	21	1.3	0.05	0	3600	1	0	0	0	0	1	1
50	1	22	0.3	0.05	0	3600	1	0	0	0	0	1	1
51	1	134	2.1	0.05	0	3600	1	0	0	0	0	1	1
52	1	23	2.3	0.05	0	3600	1	0	0	0	0	1	1
53	1	27	1.7	0.05	0	3600	1	0	0	0	0	1	1
54	1	29	1	0.05	0	3600	1	0	0	0	0	1	1
55	1	37	2.1	0.05	0	3600	1	0	0	0	0	1	1
56	1	143	0.1	0.05	0	3600	1	0	0	0	0	1	1
57	131	1	1.6	0.05	0	3600	1	0	0	0	0	1	1
58	131	2	0.3	0.05	0	3600	1	0	0	0	0	1	1
59	131	3	1.1	0.05	0	3600	1	0	0	0	0	1	1
60	131	4	0.3	0.05	0	3600	1	0	0	0	0	1	1
61	131	5	1.6	0.05	0	3600	1	0	0	0	0	1	1
62	131	6	1.2	0.05	0	3600	1	0	0	0	0	1	1
63	131	7	1.1	0.05	0	3600	1	0	0	0	0	1	1
64	131	8	1.3	0.05	0	3600	1	0	0	0	0	1	1
65	131	14	1	0.05	0	3600	1	0	0	0	0	1	1
66	131	18	1.3	0.05	0	3600	1	0	0	0	0	1	1
67	131	19	0.3	0.05	0	3600	1	0	0	0	0	1	1
68	131	20	0.3	0.05	0	3600	1	0	0	0	0	1	1
69	131	21	0.2	0.05	0	3600	1	0	0	0	0	1	1
70	131	134	2.8	0.05	0	3600	1	0	0	0	0	1	1
71	131	23	1.4	0.05	0	3600	1	0	0	0	0	1	1
72	131	27	1.1	0.05	0	3600	1	0	0	0	0	1	1
73	131	29	0.7	0.05	0	3600	1	0	0	0	0	1	1
74	131	37	1.1	0.05	0	3600	1	0	0	0	0	1	1
75	2	1	1.8	0.05	0	3600	1	0	0	0	0	1	1
