LA	subnetwork	OD	with	preload									
76	2	131	0.4	0.05	0	3600	1	0	0	0	0	1	1
77	2	3	1	0.05	0	3600	1	0	0	0	0	1	1
78	2	5	1.2	0.05	0	3600	1	0	0	0	0	1	1
79	2	6	1	0.05	0	3600	1	0	0	0	0	1	1
80	2	7	1	0.05	0	3600	1	0	0	0	0	1	1
81	2	8	1.1	0.05	0	3600	1	0	0	0	0	1	1
82	2	14	0.9	0.05	0	3600	1	0	0	0	0	1	1
83	2	18	1.1	0.05	0	3600	1	0	0	0	0	1	1
84	2	132	10.8	0.05	0	3600	1	0	0	0	0	1	1
85	2	19	0.5	0.05	0	3600	1	0	0	0	0	1	1
86	2	20	0.5	0.05	0	3600	1	0	0	0	0	1	1
87	2	21	0.2	0.05	0	3600	1	0	0	0	0	1	1
88	2	134	0.6	0.05	0	3600	1	0	0	0	0	1	1
89	2	23	1.1	0.05	0	3600	1	0	0	0	0	1	1
90	2	27	0.8	0.05	0	3600	1	0	0	0	0	1	1
91	2	29	0.6	0.05	0	3600	1	0	0	0	0	1	1
92	2	37	0.4	0.05	0	3600	1	0	0	0	0	1	1
93	2	143	0.1	0.05	0	3600	1	0	0	0	0	1	1
94	3	132	234.3	0.05	0	3600	1	0	0	0	0	1	1
95	3	1	18.9	0.05	0	3600	1	0	0	0	0	1	1
96	3	131	14.3	0.05	0	3600	1	0	0	0	0	1	1
97	3	2	13.8	0.05	0	3600	1	0	0	0	0	1	1
98	3	4	13.8	0.05	0	3600	1	0	0	0	0	1	1
99	3	5	10.9	0.05	0	3600	1	0	0	0	0	1	1
100	3	6	5.2	0.05	0	3600	1	0	0	0	0	1	1
101	3	7	1.7	0.05	0	3600	1	0	0	0	0	1	1
102	3	9	12.3	0.05	0	3600	1	0	0	0	0	1	1
103	3	8	5.5	0.05	0	3600	1	0	0	0	0	1	1
104	3	11	8.6	0.05	0	3600	1	0	0	0	0	1	1
105	3	12	133.3	0.05	0	3600	1	0	0	0	0	1	1
106	3	14	6.2	0.05	0	3600	1	0	0	0	0	1	1
107	3	15	6.4	0.05	0	3600	1	0	0	0	0	1	1
108	3	16	12.3	0.05	0	3600	1	0	0	0	0	1	1
109	3	17	12.3	0.05	0	3600	1	0	0	0	0	1	1
110	3	18	5.5	0.05	0	3600	1	0	0	0	0	1	1
111	3	19	38.5	0.05	0	3600	1	0	0	0	0	1	1
112	3	20	38.5	0.05	0	3600	1	0	0	0	0	1	1
113	3	21	35.2	0.05	0	3600	1	0	0	0	0	1	1
114	3	22	12.9	0.05	0	3600	1	0	0	0	0	1	1
115	3	23	5.9	0.05	0	3600	1	0	0	0	0	1	1
116	3	24	4.4	0.05	0	3600	1	0	0	0	0	1	1
117	3	25	6.3	0.05	0	3600	1	0	0	0	0	1	1
118	3	26	6	0.05	0	3600	1	0	0	0	0	1	1
119	3	27	3.6	0.05	0	3600	1	0	0	0	0	1	1
120	3	28	6	0.05	0	3600	1	0	0	0	0	1	1
121	3	29	2.3	0.05	0	3600	1	0	0	0	0	1	1
122	3	30	2.4	0.05	0	3600	1	0	0	0	0	1	1
123	3	31	2.1	0.05	0	3600	1	0	0	0	0	1	1
124	3	32	2.3	0.05	0	3600	1	0	0	0	0	1	1
125	3	34	2.5	0.05	0	3600	1	0	0	0	0	1	1
126	3	38	2.2	0.05	0	3600	1	0	0	0	0	1	1
127	3	39	0.1	0.05	0	3600	1	0	0	0	0	1	1
128	3	40	2.1	0.05	0	3600	1	0	0	0	0	1	1
129	3	41	1.2	0.05	0	3600	1	0	0	0	0	1	1
130	3	42	1.2	0.05	0	3600	1	0	0	0	0	1	1
131	3	45	1.3	0.05	0	3600	1	0	0	0	0	1	1
132	3	46	5.5	0.05	0	3600	1	0	0	0	0	1	1
133	3	50	1.7	0.05	0	3600	1	0	0	0	0	1	1
134	3	51	1.2	0.05	0	3600	1	0	0	0	0	1	1
135	3	52	2.3	0.05	0	3600	1	0	0	0	0	1	1
136	3	57	1	0.05	0	3600	1	0	0	0	0	1	1
137	3	58	0.1	0.05	0	3600	1	0	0	0	0	1	1
138	3	59	0.2	0.05	0	3600	1	0	0	0	0	1	1
139	3	63	1.1	0.05	0	3600	1	0	0	0	0	1	1
140	3	65	0.1	0.05	0	3600	1	0	0	0	0	1	1
141	3	68	0.2	0.05	0	3600	1	0	0	0	0	1	1
142	3	71	0.1	0.05	0	3600	1	0	0	0	0	1	1
143	3	72	1.2	0.05	0	3600	1	0	0	0	0	1	1
144	3	73	1.2	0.05	0	3600	1	0	0	0	0	1	1
145	3	74	0.1	0.05	0	3600	1	0	0	0	0	1	1
146	3	75	0.1	0.05	0	3600	1	0	0	0	0	1	1
147	3	77	0.1	0.05	0	3600	1	0	0	0	0	1	1
148	3	78	0.3	0.05	0	3600	1	0	0	0	0	1	1
149	3	86	0.1	0.05	0	3600	1	0	0	0	0	1	1
150	3	87	0.9	0.05	0	3600	1	0	0	0	0	1	1
151	3	94	0.1	0.05	0	3600	1	0	0	0	0	1	1
152	3	95	0.2	0.05	0	3600	1	0	0	0	0	1	1
153	3	110	0.1	0.05	0	3600	1	0	0	0	0	1	1
154	3	120	0.1	0.05	0	3600	1	0	0	0	0	1	1
155	3	126	0.5	0.05	0	3600	1	0	0	0	0	1	1
156	4	1	1.8	0.05	0	3600	1	0	0	0	0	1	1
157	4	131	0.4	0.05	0	3600	1	0	0	0	0	1	1
158	4	3	1	0.05	0	3600	1	0	0	0	0	1	1
159	4	5	1.2	0.05	0	3600	1	0	0	0	0	1	1
160	4	6	1	0.05	0	3600	1	0	0	0	0	1	1
161	4	7	1	0.05	0	3600	1	0	0	0	0	1	1
162	4	8	1.1	0.05	0	3600	1	0	0	0	0	1	1
163	4	14	0.9	0.05	0	3600	1	0	0	0	0	1	1
164	4	18	1.1	0.05	0	3600	1	0	0	0	0	1	1
165	4	132	10.8	0.05	0	3600	1	0	0	0	0	1	1
166	4	19	0.5	0.05	0	3600	1	0	0	0	0	1	1
167	4	20	0.5	0.05	0	3600	1	0	0	0	0	1	1
168	4	21	0.2	0.05	0	3600	1	0	0	0	0	1	1
169	4	134	0.6	0.05	0	3600	1	0	0	0	0	1	1
170	4	23	1.1	0.05	0	3600	1	0	0	0	0	1	1
171	4	27	0.8	0.05	0	3600	1	0	0	0	0	1	1
172	4	29	0.6	0.05	0	3600	1	0	0	0	0	1	1
173	4	37	0.4	0.05	0	3600	1	0	0	0	0	1	1
174	5	132	237.4	0.05	0	3600	1	0	0	0	0	1	1
175	5	1	17.4	0.05	0	3600	1	0	0	0	0	1	1
176	5	131	14.3	0.05	0	3600	1	0	0	0	0	1	1
177	5	2	12.7	0.05	0	3600	1	0	0	0	0	1	1
178	5	3	5.9	0.05	0	3600	1	0	0	0	0	1	1
179	5	4	12.7	0.05	0	3600	1	0	0	0	0	1	1
180	5	6	23.3	0.05	0	3600	1	0	0	0	0	1	1
181	5	7	5.9	0.05	0	3600	1	0	0	0	0	1	1
182	5	9	3	0.05	0	3600	1	0	0	0	0	1	1
183	5	8	18.6	0.05	0	3600	1	0	0	0	0	1	1
184	5	11	16.7	0.05	0	3600	1	0	0	0	0	1	1
185	5	12	161.4	0.05	0	3600	1	0	0	0	0	1	1
186	5	14	14.5	0.05	0	3600	1	0	0	0	0	1	1
187	5	15	5.7	0.05	0	3600	1	0	0	0	0	1	1
188	5	16	11	0.05	0	3600	1	0	0	0	0	1	1
189	5	17	3	0.05	0	3600	1	0	0	0	0	1	1
190	5	18	18.6	0.05	0	3600	1	0	0	0	0	1	1
191	5	19	8.3	0.05	0	3600	1	0	0	0	0	1	1
192	5	20	8.3	0.05	0	3600	1	0	0	0	0	1	1
193	5	21	24	0.05	0	3600	1	0	0	0	0	1	1
194	5	22	23.1	0.05	0	3600	1	0	0	0	0	1	1
195	5	23	9.6	0.05	0	3600	1	0	0	0	0	1	1
196	5	24	2.8	0.05	0	3600	1	0	0	0	0	1	1
197	5	25	5.3	0.05	0	3600	1	0	0	0	0	1	1
198	5	26	2	0.05	0	3600	1	0	0	0	0	1	1
199	5	27	3.6	0.05	0	3600	1	0	0	0	0	1	1
200	5	28	2	0.05	0	3600	1	0	0	0	0	1	1
201	5	29	2.4	0.05	0	3600	1	0	0	0	0	1	1
202	5	30	3.4	0.05	0	3600	1	0	0	0	0	1	1
203	5	31	1.3	0.05	0	3600	1	0	0	0	0	1	1
204	5	32	2.4	0.05	0	3600	1	0	0	0	0	1	1
205	5	34	3.2	0.05	0	3600	1	0	0	0	0	1	1
206	5	38	1.2	0.05	0	3600	1	0	0	0	0	1	1
207	5	39	0.9	0.05	0	3600	1	0	0	0	0	1	1
208	5	40	2.1	0.05	0	3600	1	0	0	0	0	1	1
209	5	41	1.7	0.05	0	3600	1	0	0	0	0	1	1
210	5	42	1.1	0.05	0	3600	1	0	0	0	0	1	1
211	5	45	1.1	0.05	0	3600	1	0	0	0	0	1	1
212	5	46	2.6	0.05	0	3600	1	0	0	0	0	1	1
213	5	50	1.5	0.05	0	3600	1	0	0	0	0	1	1
214	5	51	1.7	0.05	0	3600	1	0	0	0	0	1	1
215	5	52	2.3	0.05	0	3600	1	0	0	0	0	1	1
216	5	56	1.6	0.05	0	3600	1	0	0	0	0	1	1
217	5	57	2.2	0.05	0	3600	1	0	0	0	0	1	1
218	5	58	0.6	0.05	0	3600	1	0	0	0	0	1	1
219	5	59	2.9	0.05	0	3600	1	0	0	0	0	1	1
220	5	63	2.6	0.05	0	3600	1	0	0	0	0	1	1
221	5	65	0.8	0.05	0	3600	1	0	0	0	0	1	1
222	5	68	1.8	0.05	0	3600	1	0	0	0	0	1	1
223	5	72	2.3	0.05	0	3600	1	0	0	0	0	1	1
224	5	73	2.3	0.05	0	3600	1	0	0	0	0	1	1
225	5	74	0.7	0.05	0	3600	1	0	0	0	0	1	1
226	5	77	0.7	0.05	0	3600	1	0	0	0	0	1	1
227	5	78	1.3	0.05	0	3600	1	0	0	0	0	1	1
228	5	79	0.3	0.05	0	3600	1	0	0	0	0	1	1
229	5	86	0.1	0.05	0	3600	1	0	0	0	0	1	1
230	5	87	76.5	0.05	0	3600	1	0	0	0	0	1	1
231	5	91	0.1	0.05	0	3600	1	0	0	0	0	1	1
232	5	93	0.1	0.05	0	3600	1	0	0	0	0	1	1
233	5	94	0.1	0.05	0	3600	1	0	0	0	0	1	1
234	5	95	3.6	0.05	0	3600	1	0	0	0	0	1	1
235	5	110	0.1	0.05	0	3600	1	0	0	0	0	1	1
236	5	120	0.2	0.05	0	3600	1	0	0	0	0	1	1
237	5	126	0.4	0.05	0	3600	1	0	0	0	0	1	1
238	6	132	200.8	0.05	0	3600	1	0	0	0	0	1	1
239	6	1	14.7	0.05	0	3600	1	0	0	0	0	1	1
240	6	131	12.6	0.05	0	3600	1	0	0	0	0	1	1
241	6	2	11.8	0.05	0	3600	1	0	0	0	0	1	1
242	6	3	2.6	0.05	0	3600	1	0	0	0	0	1	1
243	6	4	11.8	0.05	0	3600	1	0	0	0	0	1	1
244	6	5	20.9	0.05	0	3600	1	0	0	0	0	1	1
245	6	7	2.6	0.05	0	3600	1	0	0	0	0	1	1
246	6	9	8.3	0.05	0	3600	1	0	0	0	0	1	1
247	6	8	11.8	0.05	0	3600	1	0	0	0	0	1	1
248	6	11	10.7	0.05	0	3600	1	0	0	0	0	1	1
249	6	12	141.2	0.05	0	3600	1	0	0	0	0	1	1
250	6	14	19.1	0.05	0	3600	1	0	0	0	0	1	1
251	6	15	5.1	0.05	0	3600	1	0	0	0	0	1	1
252	6	16	8.3	0.05	0	3600	1	0	0	0	0	1	1
253	6	17	8.3	0.05	0	3600	1	0	0	0	0	1	1
254	6	18	11.8	0.05	0	3600	1	0	0	0	0	1	1
255	6	19	14.6	0.05	0	3600	1	0	0	0	0	1	1
256	6	20	14.6	0.05	0	3600	1	0	0	0	0	1	1
257	6	21	12.1	0.05	0	3600	1	0	0	0	0	1	1
258	6	22	14.9	0.05	0	3600	1	0	0	0	0	1	1
259	6	23	13.8	0.05	0	3600	1	0	0	0	0	1	1
260	6	24	2	0.05	0	3600	1	0	0	0	0	1	1
261	6	25	3.7	0.05	0	3600	1	0	0	0	0	1	1
262	6	26	1.2	0.05	0	3600	1	0	0	0	0	1	1
263	6	27	4.7	0.05	0	3600	1	0	0	0	0	1	1
264	6	28	1.2	0.05	0	3600	1	0	0	0	0	1	1
265	6	29	2.3	0.05	0	3600	1	0	0	0	0	1	1
266	6	30	0.1	0.05	0	3600	1	0	0	0	0	1	1
267	6	31	0.9	0.05	0	3600	1	0	0	0	0	1	1
268	6	32	2.3	0.05	0	3600	1	0	0	0	0	1	1
269	6	34	4	0.05	0	3600	1	0	0	0	0	1	1
270	6	38	1	0.05	0	3600	1	0	0	0	0	1	1
271	6	40	1.8	0.05	0	3600	1	0	0	0	0	1	1
272	6	41	1.8	0.05	0	3600	1	0	0	0	0	1	1
273	6	42	0.9	0.05	0	3600	1	0	0	0	0	1	1
274	6	45	1.2	0.05	0	3600	1	0	0	0	0	1	1
275	6	50	1.4	0.05	0	3600	1	0	0	0	0	1	1
276	6	51	1.8	0.05	0	3600	1	0	0	0	0	1	1
277	6	52	2.3	0.05	0	3600	1	0	0	0	0	1	1
278	6	57	1	0.05	0	3600	1	0	0	0	0	1	1
279	6	58	0.7	0.05	0	3600	1	0	0	0	0	1	1
280	6	63	2.7	0.05	0	3600	1	0	0	0	0	1	1
281	6	65	0.9	0.05	0	3600	1	0	0	0	0	1	1
282	6	73	2.3	0.05	0	3600	1	0	0	0	0	1	1
283	6	74	0.7	0.05	0	3600	1	0	0	0	0	1	1
284	6	77	0.7	0.05	0	3600	1	0	0	0	0	1	1
285	6	78	1.4	0.05	0	3600	1	0	0	0	0	1	1
286	6	79	0.4	0.05	0	3600	1	0	0	0	0	1	1
287	6	86	0.1	0.05	0	3600	1	0	0	0	0	1	1
288	6	87	1.1	0.05	0	3600	1	0	0	0	0	1	1
289	6	94	0.1	0.05	0	3600	1	0	0	0	0	1	1
290	6	95	0.3	0.05	0	3600	1	0	0	0	0	1	1
291	6	120	0.1	0.05	0	3600	1	0	0	0	0	1	1
292	6	126	0.2	0.05	0	3600	1	0	0	0	0	1	1
293	7	1	0.3	0.05	0	3600	1	0	0	0	0	1	1
294	7	3	1.7	0.05	0	3600	1	0	0	0	0	1	1
295	7	5	10.9	0.05	0	3600	1	0	0	0	0	1	1
296	7	6	5.2	0.05	0	3600	1	0	0	0	0	1	1
297	7	9	2.5	0.05	0	3600	1	0	0	0	0	1	1
298	7	8	5.5	0.05	0	3600	1	0	0	0	0	1	1
299	7	12	1.7	0.05	0	3600	1	0	0	0	0	1	1
300	7	14	6.2	0.05	0	3600	1	0	0	0	0	1	1
301	7	132	28.1	0.05	0	3600	1	0	0	0	0	1	1
302	7	17	2.5	0.05	0	3600	1	0	0	0	0	1	1
303	7	18	5.5	0.05	0	3600	1	0	0	0	0	1	1
304	7	19	18.1	0.05	0	3600	1	0	0	0	0	1	1
305	7	20	18.1	0.05	0	3600	1	0	0	0	0	1	1
306	7	21	35.2	0.05	0	3600	1	0	0	0	0	1	1
307	7	22	12.9	0.05	0	3600	1	0	0	0	0	1	1
308	7	23	5.9	0.05	0	3600	1	0	0	0	0	1	1
309	7	24	4.4	0.05	0	3600	1	0	0	0	0	1	1
310	7	25	6.3	0.05	0	3600	1	0	0	0	0	1	1
311	7	26	6	0.05	0	3600	1	0	0	0	0	1	1
312	7	27	3.6	0.05	0	3600	1	0	0	0	0	1	1
313	7	28	6	0.05	0	3600	1	0	0	0	0	1	1
314	7	29	2.3	0.05	0	3600	1	0	0	0	0	1	1
315	7	30	7.7	0.05	0	3600	1	0	0	0	0	1	1
316	7	31	2.1	0.05	0	3600	1	0	0	0	0	1	1
317	7	32	2.3	0.05	0	3600	1	0	0	0	0	1	1
318	7	34	2.5	0.05	0	3600	1	0	0	0	0	1	1
319	7	38	2.2	0.05	0	3600	1	0	0	0	0	1	1
320	7	39	2.3	0.05	0	3600	1	0	0	0	0	1	1
321	7	40	2.1	0.05	0	3600	1	0	0	0	0	1	1
322	7	41	1.2	0.05	0	3600	1	0	0	0	0	1	1
323	7	42	1.2	0.05	0	3600	1	0	0	0	0	1	1
324	7	45	1.3	0.05	0	3600	1	0	0	0	0	1	1
325	7	46	5.5	0.05	0	3600	1	0	0	0	0	1	1
326	7	87	0.2	0.05	0	3600	1	0	0	0	0	1	1
327	9	132	117.3	0.05	0	3600	1	0	0	0	0	1	1
328	9	1	42.4	0.05	0	3600	1	0	0	0	0	1	1
329	9	131	36.6	0.05	0	3600	1	0	0	0	0	1	1
330	9	2	37.1	0.05	0	3600	1	0	0	0	0	1	1
331	9	3	1.2	0.05	0	3600	1	0	0	0	0	1	1
332	9	4	37.1	0.05	0	3600	1	0	0	0	0	1	1
333	9	5	1.7	0.05	0	3600	1	0	0	0	0	1	1
334	9	6	1.1	0.05	0	3600	1	0	0	0	0	1	1
335	9	7	1.2	0.05	0	3600	1	0	0	0	0	1	1
336	9	8	1.2	0.05	0	3600	1	0	0	0	0	1	1
337	9	11	1.2	0.05	0	3600	1	0	0	0	0	1	1
338	9	12	0.2	0.05	0	3600	1	0	0	0	0	1	1
339	9	14	1	0.05	0	3600	1	0	0	0	0	1	1
340	9	15	0.6	0.05	0	3600	1	0	0	0	0	1	1
341	9	18	1.2	0.05	0	3600	1	0	0	0	0	1	1
342	9	19	9.3	0.05	0	3600	1	0	0	0	0	1	1
343	9	20	9.3	0.05	0	3600	1	0	0	0	0	1	1
344	9	21	1.2	0.05	0	3600	1	0	0	0	0	1	1
345	9	22	0.2	0.05	0	3600	1	0	0	0	0	1	1
346	9	23	1.4	0.05	0	3600	1	0	0	0	0	1	1
347	9	27	0.9	0.05	0	3600	1	0	0	0	0	1	1
348	9	29	0.4	0.05	0	3600	1	0	0	0	0	1	1
349	9	30	43.1	0.05	0	3600	1	0	0	0	0	1	1
350	9	31	37.4	0.05	0	3600	1	0	0	0	0	1	1
351	9	32	38.4	0.05	0	3600	1	0	0	0	0	1	1
352	9	33	54	0.05	0	3600	1	0	0	0	0	1	1
353	9	34	0.8	0.05	0	3600	1	0	0	0	0	1	1
354	9	35	64.3	0.05	0	3600	1	0	0	0	0	1	1
355	9	36	38.9	0.05	0	3600	1	0	0	0	0	1	1
356	9	38	38.4	0.05	0	3600	1	0	0	0	0	1	1
357	9	39	37.8	0.05	0	3600	1	0	0	0	0	1	1
358	9	40	38.7	0.05	0	3600	1	0	0	0	0	1	1
359	9	41	0.4	0.05	0	3600	1	0	0	0	0	1	1
360	9	42	36.8	0.05	0	3600	1	0	0	0	0	1	1
361	9	43	40.4	0.05	0	3600	1	0	0	0	0	1	1
362	9	44	38.9	0.05	0	3600	1	0	0	0	0	1	1
363	9	45	0.5	0.05	0	3600	1	0	0	0	0	1	1
364	9	46	41.5	0.05	0	3600	1	0	0	0	0	1	1
365	9	47	8.9	0.05	0	3600	1	0	0	0	0	1	1
366	9	48	7.8	0.05	0	3600	1	0	0	0	0	1	1
367	9	49	7.1	0.05	0	3600	1	0	0	0	0	1	1
368	9	50	7.1	0.05	0	3600	1	0	0	0	0	1	1
369	9	51	6.6	0.05	0	3600	1	0	0	0	0	1	1
370	9	52	7.8	0.05	0	3600	1	0	0	0	0	1	1
371	9	53	7.8	0.05	0	3600	1	0	0	0	0	1	1
372	9	54	8.3	0.05	0	3600	1	0	0	0	0	1	1
373	9	56	7.2	0.05	0	3600	1	0	0	0	0	1	1
374	9	57	7.4	0.05	0	3600	1	0	0	0	0	1	1
375	9	58	5.7	0.05	0	3600	1	0	0	0	0	1	1
376	9	59	8.5	0.05	0	3600	1	0	0	0	0	1	1
377	9	60	8.9	0.05	0	3600	1	0	0	0	0	1	1
378	9	61	8.4	0.05	0	3600	1	0	0	0	0	1	1
379	9	62	7.7	0.05	0	3600	1	0	0	0	0	1	1
380	9	135	6.5	0.05	0	3600	1	0	0	0	0	1	1
381	9	63	7.6	0.05	0	3600	1	0	0	0	0	1	1
382	9	64	7.8	0.05	0	3600	1	0	0	0	0	1	1
383	9	65	5.8	0.05	0	3600	1	0	0	0	0	1	1
384	9	66	9.5	0.05	0	3600	1	0	0	0	0	1	1
385	9	67	6.6	0.05	0	3600	1	0	0	0	0	1	1
386	9	68	9	0.05	0	3600	1	0	0	0	0	1	1
387	9	69	25.7	0.05	0	3600	1	0	0	0	0	1	1
388	9	70	25.7	0.05	0	3600	1	0	0	0	0	1	1
389	9	71	29	0.05	0	3600	1	0	0	0	0	1	1
390	9	72	7.7	0.05	0	3600	1	0	0	0	0	1	1
391	9	73	7.7	0.05	0	3600	1	0	0	0	0	1	1
392	9	74	5.8	0.05	0	3600	1	0	0	0	0	1	1
393	9	75	28.4	0.05	0	3600	1	0	0	0	0	1	1
394	9	76	7.9	0.05	0	3600	1	0	0	0	0	1	1
395	9	77	9.8	0.05	0	3600	1	0	0	0	0	1	1
396	9	78	11	0.05	0	3600	1	0	0	0	0	1	1
397	9	79	9.1	0.05	0	3600	1	0	0	0	0	1	1
398	9	80	12.3	0.05	0	3600	1	0	0	0	0	1	1
399	9	81	12.6	0.05	0	3600	1	0	0	0	0	1	1
400	9	83	11.4	0.05	0	3600	1	0	0	0	0	1	1
401	9	85	12	0.05	0	3600	1	0	0	0	0	1	1
402	9	86	5	0.05	0	3600	1	0	0	0	0	1	1
403	9	87	7.7	0.05	0	3600	1	0	0	0	0	1	1
404	9	90	4.7	0.05	0	3600	1	0	0	0	0	1	1
405	9	91	9	0.05	0	3600	1	0	0	0	0	1	1
406	9	93	9	0.05	0	3600	1	0	0	0	0	1	1
407	9	94	5	0.05	0	3600	1	0	0	0	0	1	1
408	9	95	13.1	0.05	0	3600	1	0	0	0	0	1	1
409	9	96	8.4	0.05	0	3600	1	0	0	0	0	1	1
410	9	97	8.4	0.05	0	3600	1	0	0	0	0	1	1
411	9	99	5.1	0.05	0	3600	1	0	0	0	0	1	1
412	9	100	8.9	0.05	0	3600	1	0	0	0	0	1	1
413	9	103	4.8	0.05	0	3600	1	0	0	0	0	1	1
414	9	104	11.3	0.05	0	3600	1	0	0	0	0	1	1
415	9	105	5.5	0.05	0	3600	1	0	0	0	0	1	1
416	9	106	9.2	0.05	0	3600	1	0	0	0	0	1	1
417	9	107	4.6	0.05	0	3600	1	0	0	0	0	1	1
418	9	108	10.8	0.05	0	3600	1	0	0	0	0	1	1
419	9	109	5.5	0.05	0	3600	1	0	0	0	0	1	1
420	9	110	6.2	0.05	0	3600	1	0	0	0	0	1	1
421	9	111	5.1	0.05	0	3600	1	0	0	0	0	1	1
422	9	112	5.1	0.05	0	3600	1	0	0	0	0	1	1
423	9	113	4.8	0.05	0	3600	1	0	0	0	0	1	1
424	9	114	4.7	0.05	0	3600	1	0	0	0	0	1	1
425	9	115	9.1	0.05	0	3600	1	0	0	0	0	1	1
